,TWEETGENERICFRAMESDOMINANT,cnn2016_x,cnn2016_y,cnn2020_x,cnn2020_y,fox2016_x,fox2016_y,fox2020_x,fox2020_y,All,All_p,TWEETEMOTIONALFRAMES
0,conflict,94,76.42,73,51.77,20,58.81999999999999,73,60.83,260,62.2,
1,economic,1,0.8099999999999999,16,11.35,1,2.94,3,2.5,21,5.02,
2,human interest,14,11.379999999999999,36,25.53,13,38.24,32,26.669999999999998,95,22.73,
3,morality,4,3.25,9,6.38,0,0.0,3,2.5,16,3.83,
4,responsibility,10,8.129999999999999,7,4.96,0,0.0,9,7.5,26,6.22,
All,conflicteconomichuman interestmoralityresponsibility,123,99.99,141,99.99,34,100.0,120,100.0,418,100.0,
0,,104,84.55,84,59.150000000000006,20,58.81999999999999,72,60.0,280,66.83,negative
1,,5,4.07,0,0.0,2,5.88,0,0.0,7,1.67,neutral
2,,14,11.379999999999999,58,40.849999999999994,12,35.29,48,40.0,132,31.5,positive
All,,123,100.0,142,100.0,34,99.98999999999998,120,100.0,419,100.0,negativeneutralpositive
