PUBLISHER,cnn,cnn,fox,fox
YEAR,2016,2020,2016,2020
4.0,0.0,1.0,0.0,1.0
9.0,0.0,18.0,0.0,36.0
editorial,14.000000000000002,37.0,10.0,2.0
hard news,8.0,7.000000000000001,25.0,21.0
soft news,78.0,38.0,65.0,41.0
attack,27.0,19.0,40.0,28.999999999999996
campaign event or info,10.0,5.0,30.0,3.0
character traits,8.0,3.0,0.0,0.0
covid,0.0,28.000000000000004,0.0,21.0
endorsement,3.0,1.0,0.0,1.0
horserace,5.0,8.0,10.0,3.0
media,11.0,5.0,5.0,21.0
other,8.0,3.0,10.0,9.0
policy issue,19.0,24.0,0.0,12.0
scandal,10.0,3.0,5.0,3.0
conflict,86.0,76.0,84.0,74.0
economic,5.0,9.0,5.0,0.0
human interest,5.0,10.0,5.0,22.0
morality,2.0,0.0,5.0,0.0
responsibility,3.0,4.0,0.0,4.0
3.0,5.0,0.0,10.0,0.0
negative,94.0,91.0,85.0,73.0
positive,2.0,9.0,5.0,27.0
no,79.0,98.0,90.0,77.0
yes,21.0,2.0,10.0,23.0
