,0,1,2,3,4,5,Variables
0,0.010140572403424131,0.38216439557221676,-0.2928722522123486,0.18921089869138571,-0.1615566487054445,0.14882419805901834,Shots
1,-0.15269526703906813,0.6268343978656938,-0.020682175632887646,0.09690749243656704,0.02478438367100371,0.08570355244325344,EditsStyle
2,-0.1419188414442416,0.5716929731826564,0.7495259619282164,-0.05426058287067792,-0.07636061326100767,-0.1025834664225917,Broll
3,-0.46794465000785557,-0.049206145235271365,0.5390144949004322,-0.0304742503055989,-0.06295871570380362,0.18052508668887626,NatSound
4,0.011957044691000115,0.3602188458380094,-0.07647032684314613,0.9252451592784798,0.08678912942273646,0.03867206377608092,Audio
5,0.07627135643011099,0.6799340091833584,0.06275287950771756,0.07466026874986799,0.14745936021258585,0.24952698576426505,Music
6,0.0753808874548762,0.6183828111564412,0.15556373366920825,0.14039763332014313,-0.15902557912359316,-0.0553542655453899,Narration
7,0.5089323683369874,0.14392895988870755,-0.19380638404173797,-0.15846152238110883,0.5377574469108914,0.04767350164541382,Humor
8,-0.03373970206625225,0.1114448091112673,-0.015834733315810878,-0.08121965721559275,-0.5027019629098038,0.06920668448700688,Sourcing
9,0.864427815933319,-0.14800022270663352,0.1832612237413621,-0.018013972163465425,0.24896591899534595,0.13642216261372486,Decorum
10,0.6799003683265804,0.18451970779878424,-0.13195110650068453,0.0013102594571167605,0.3830433615873161,0.04293204297628691,Language
11,-0.5284642719130226,-0.018216000286372203,0.12575554828831365,-0.028240857673973118,0.011796634411284012,0.19849713735157845,Animation
12,0.5560508191230292,-0.1429306807718479,-0.14386172515646373,0.019490304890938285,-0.09166148418035663,-0.12187722428836593,Filters
13,-0.1017900553304788,0.2834136466988639,0.005354077110165235,0.021653019409995415,-0.07446383477036735,0.5945723599563456,Fairness
14,0.26808951857050733,0.2292666808650385,0.03281208193111862,-0.05910366839073878,0.2835822588213868,-0.2840139543609802,Agenda
