Variable,Value,Mean,Standard Deviation
Shots,Instagram Reels,0.717948717948718,0.4558807524548929
Shots,TikTok,0.8095238095238095,0.3974366179316375
Shots,YouTube Shorts,0.7142857142857143,0.45722995685921247
Animation,Instagram Reels,0.40476190476190477,0.49679577241454687
Animation,TikTok,0.30952380952380953,0.46790113809333267
Animation,YouTube Shorts,0.3333333333333333,0.47711872361369784
Filters,Instagram Reels,0.023809523809523808,0.15430334996209188
Filters,TikTok,0.21428571428571427,0.41529973223663275
Filters,YouTube Shorts,0.11904761904761904,0.3277700675615679
EditsStyle,Instagram Reels,0.7380952380952381,0.4450006198693304
EditsStyle,TikTok,0.7142857142857143,0.45722995685921247
EditsStyle,YouTube Shorts,0.6428571428571429,0.4849656045851727
Broll,Instagram Reels,0.5714285714285714,0.5008703226778093
Broll,TikTok,0.6190476190476191,0.49150743499231975
Broll,YouTube Shorts,0.6666666666666666,0.47711872361369784
NatSound,Instagram Reels,0.40476190476190477,0.496795772414547
NatSound,TikTok,0.40476190476190477,0.496795772414547
NatSound,YouTube Shorts,0.5476190476190477,0.5037605389507488
Audio,Instagram Reels,0.8809523809523809,0.3277700675615678
Audio,TikTok,0.8809523809523809,0.3277700675615678
Audio,YouTube Shorts,0.8333333333333334,0.3771954702329121
Music,Instagram Reels,0.5238095238095238,0.5054867366041315
Music,TikTok,0.40476190476190477,0.496795772414547
Music,YouTube Shorts,0.5238095238095238,0.5054867366041315
Narration,Instagram Reels,0.5,0.5060608273474739
Narration,TikTok,0.5,0.5060608273474738
Narration,YouTube Shorts,0.5,0.5060608273474738
Humor,Instagram Reels,0.2619047619047619,0.44500061986933037
Humor,TikTok,0.30952380952380953,0.4679011380933327
Humor,YouTube Shorts,0.3333333333333333,0.4771187236136979
Sourcing,Instagram Reels,0.8095238095238095,0.3974366179316375
Sourcing,TikTok,0.8809523809523809,0.32777006756156785
Sourcing,YouTube Shorts,0.9047619047619048,0.29710175718617465
